nan,82.26832468,72.16,178.06
429.3873945,83.54338609,nan,219.77
nan,nan,70.61,nan
324.48932379999997,71.96504626,nan,206.04
nan,61.3500314,67.5,191.58
254.65442740000003,nan,69.92,nan
nan,nan,69.92,nan
257.9640804,52.53282787,nan,nan
259.6223705,53.46460483,70.43,244.73
nan,nan,nan,205.96
327.90630980000003,75.88525472,nan,221.72
271.7045398,59.43269408,71.81,nan
416.9349454,nan,68.19,234.0
nan,65.09525903,73.19,213.75
nan,84.48839792,nan,193.37
340.0187602,nan,66.64,nan
422.89740539999997,nan,69.57,221.51
225.8367238,nan,73.19,233.98
274.57853789999996,65.70302576,73.82,nan
412.9420868,70.72003842,nan,221.2
281.6646397,69.08782353,69.4,221.02
236.78650319999997,nan,74.23,nan
278.84308849999996,nan,nan,nan
411.4862021,84.30977824,73.02,nan
287.1056799,73.57881193,nan,nan
nan,87.66509876,nan,175.51
nan,nan,nan,nan
nan,nan,69.74,187.29
354.4054826,90.94988874,nan,205.61
nan,nan,72.85,nan
nan,70.80627992,68.71,nan
nan,nan,67.5,176.96
294.2209477,71.9990876,68.02,224.68
nan,nan,68.19,211.18
332.74889939999997,76.52686552,70.95,nan
nan,nan,nan,175.59
nan,88.2174735,70.09,199.42
nan,60.71210855,69.74,199.57
nan,nan,nan,201.34
311.3039657,nan,67.85,197.81
401.4069257,nan,67.16,208.67
347.9842901,71.12956526,70.61,198.01
356.8614413,73.61748702,71.81,200.82
298.4324794,nan,68.88,208.52
343.74174500000004,nan,nan,213.23
nan,nan,nan,nan
nan,53.89216891,70.95,213.91
nan,nan,71.3,nan
nan,nan,71.99,nan
193.8473876,nan,73.71,nan
269.2990841,54.08498568,nan,210.38
389.4843078,nan,nan,nan
344.32824260000007,nan,68.88,185.76
358.08702999999997,nan,70.78,218.14
nan,69.86352135,74.78,nan
nan,nan,nan,nan
nan,71.47484228,69.74,nan
319.381376,nan,nan,nan
282.9457438,nan,nan,222.43
513.3465316,73.5205962,nan,nan
377.4908569,nan,68.54,171.25
298.80730869999996,nan,69.57,218.3
341.58275380000003,80.51368562,71.12,nan
346.00672010000005,72.31044589,73.02,219.5
325.08432139999996,58.94559698,77.33,nan
nan,58.981247499999995,72.5,221.29
nan,70.38400978,nan,nan
nan,nan,72.16,223.16
nan,nan,66.81,212.35
nan,nan,nan,nan
420.5176808,76.59164098,nan,185.0
324.1259503,55.2094233,73.36,196.5
400.35986319999995,81.48608781,72.5,197.68
nan,84.19480557,nan,nan
383.0625841,79.24861534,68.37,nan
370.1452932,nan,71.12,165.2
298.43982769999997,nan,71.64,nan
327.1458026,48.70032054,nan,nan
279.15210310000003,nan,nan,236.82
275.3988372,nan,nan,207.69
240.3014184,71.55068159,nan,219.25
228.92058569999998,nan,nan,203.44
nan,73.5205962,72.16,225.01
201.8555445,60.60687592,nan,209.49
379.88784710000004,nan,72.5,177.62
244.81815,nan,68.37,nan
153.11302519999998,58.39607061,76.29,nan
271.5093063,78.76508072,nan,nan
418.7879379,83.73811545,nan,nan
324.82365580000004,86.8338885,70.61,212.21
244.67996290000002,72.7531792,71.64,210.81
242.16346910000001,61.65229525,68.71,225.27
326.75935510000005,nan,nan,nan
337.06714730000004,83.8428219,nan,186.55
305.3389022,71.27233484,nan,nan
195.3367966,48.63111413,72.85,208.78
